DATE,
2013-11-01 00:00,37.439999
2013-11-01 00:10,37.439999
2013-11-01 00:20,36
2013-11-01 00:30,35.279999
2013-11-01 00:40,35.279999
2013-11-01 00:50,34.199997
2013-11-01 01:00,35.279999
2013-11-01 01:10,34.199997
2013-11-01 01:20,33.119999
2013-11-01 01:30,34.739998
2013-11-01 01:40,32.939999
2013-11-01 01:50,32.399998
2013-11-01 02:00,32.399998
2013-11-01 02:10,32.399998
2013-11-01 02:20,31.859999
2013-11-01 02:30,32.399998
2013-11-01 02:40,31.319998
2013-11-01 02:50,30.959999
2013-11-01 03:00,32.219997
2013-11-01 03:10,32.399998
2013-11-01 03:20,32.399998
2013-11-01 03:30,32.399998
2013-11-01 03:40,31.319998
2013-11-01 03:50,31.139999
2013-11-01 04:00,30.779999
2013-11-01 04:10,32.399998
2013-11-01 04:20,31.319998
2013-11-01 04:30,31.319998
2013-11-01 04:40,31.319998
2013-11-01 04:50,30.959999
2013-11-01 05:00,29.879999
2013-11-01 05:10,29.879999
2013-11-01 05:20,30.959999
2013-11-01 05:30,32.039997
2013-11-01 05:40,32.039997
2013-11-01 05:50,31.499998
2013-11-01 06:00,32.579998
2013-11-01 06:10,33.119999
2013-11-01 06:20,31.499998
2013-11-01 06:30,32.579998
2013-11-01 06:40,33.119999
2013-11-01 06:50,33.119999
2013-11-01 07:00,33.119999
2013-11-01 07:10,33.119999
2013-11-01 07:20,33.119999
2013-11-01 07:30,34.739998
2013-11-01 07:40,34.739998
2013-11-01 07:50,35.279999
2013-11-01 08:00,34.739998
2013-11-01 08:10,35.82
2013-11-01 08:20,37.439999
2013-11-01 08:30,37.439999
2013-11-01 08:40,38.519997
2013-11-01 08:50,36.359997
2013-11-01 09:00,35.279999
2013-11-01 09:10,35.82
2013-11-01 09:20,36.359997
2013-11-01 09:30,34.739998
2013-11-01 09:40,33.66
2013-11-01 09:50,34.199997
2013-11-01 10:00,34.739998
2013-11-01 10:10,33.119999
2013-11-01 10:20,32.579998
2013-11-01 10:30,33.66
2013-11-01 10:40,33.119999
2013-11-01 10:50,32.399998
2013-11-01 11:00,30.239998
2013-11-01 11:10,31.859999
2013-11-01 11:20,32.399998
2013-11-01 11:30,32.399998
2013-11-01 11:40,31.679998
2013-11-01 11:50,33.299999
2013-11-01 12:00,36
2013-11-01 12:10,33.119999
2013-11-01 12:20,34.199997
2013-11-01 12:30,32.399998
2013-11-01 12:40,33.299999
2013-11-01 12:50,33.119999
2013-11-01 13:00,33.119999
